,Reference,Site Type,Latitude,Longitude,DateTime,Altitude,Discharge,Stream Slope,Width,Depth,Flow Velocity,Wind Speed,POC,DOC,TOC,pH,Water Temperature,Air Temperature,DO,Chl a,CO2,k,k600,CO2 Flux,CO2 Flux.1,Source,geometry
0,"Alin and Richey, 2012",small stream,-10.066,-67.606,20040701,150.0,,,,,,0.0,,,,,26.0,28.1,,,140.5,,-18.104,1381.28,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.60599999999999 -10.066)
1,"Alin and Richey, 2012",small stream,-10.066,-67.606,20040701,150.0,,,,,,0.0,,,,,26.0,28.1,,,140.5,,-18.32,1267.75,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.60599999999999 -10.066)
2,"Alin and Richey, 2012",small stream,-10.066,-67.606,20040701,150.0,,,,,,0.0,,,,,26.0,28.1,,,140.5,,-35.512,1449.39,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.60599999999999 -10.066)
3,"Alin and Richey, 2012",small stream,-10.066,-67.606,20040701,150.0,,,,,,0.0,,,,,26.0,28.1,,,140.5,,-20.488,1025.55,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.60599999999999 -10.066)
4,"Alin and Richey, 2012",small stream,-10.066,-67.606,20040701,150.0,,,,,,0.0,,,,,26.0,28.1,,,140.5,,-22.272,1411.55,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.60599999999999 -10.066)
5,"Alin and Richey, 2012",small stream,-9.751,-67.672,20040702,150.0,,,,,,0.3,,,,,24.9,25.1,,,860.3,,3.264,306.15,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.672 -9.750999999999999)
6,"Alin and Richey, 2012",small stream,-9.751,-67.672,20040702,150.0,,,,,,0.3,,,,,24.9,25.1,,,860.3,,2.712,270.2,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.672 -9.750999999999999)
7,"Alin and Richey, 2012",small stream,-9.751,-67.672,20040702,150.0,,,,,,0.3,,,,,24.9,25.1,,,860.3,,3.896,370.11,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.672 -9.750999999999999)
8,"Alin and Richey, 2012",small stream,-9.751,-67.672,20040702,150.0,,,,,,0.3,,,,,24.9,25.1,,,860.3,,3.832,368.21,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.672 -9.750999999999999)
9,"Alin and Richey, 2012",small stream,-9.751,-67.672,20040702,150.0,,,,,,0.3,,,,,24.9,25.1,,,860.3,,8.96,779.57,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.672 -9.750999999999999)
10,"Alin and Richey, 2012",small stream,-9.751,-67.672,20040702,150.0,,,,,,0.3,,,,,24.9,25.1,,,860.3,,8.416,787.14,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.672 -9.750999999999999)
11,"Alin and Richey, 2012",small river,-9.016,-68.584,20040705,150.0,,,,,,0.5,,,,,30.5,33.8,,,414.0,,8.016,219.49,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-68.584 -9.016)
12,"Alin and Richey, 2012",small river,-9.016,-68.584,20040705,150.0,,,,,,0.5,,,,,30.5,33.8,,,414.0,,38.792,579.0,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-68.584 -9.016)
13,"Alin and Richey, 2012",small river,-9.016,-68.584,20040705,150.0,,,,,,0.5,,,,,30.5,33.8,,,414.0,,11.472,345.51,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-68.584 -9.016)
14,"Alin and Richey, 2012",small river,-9.016,-68.584,20040705,150.0,,,,,,0.5,,,,,30.5,33.8,,,414.0,,19.416,522.24,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-68.584 -9.016)
15,"Alin and Richey, 2012",small river,-9.016,-68.584,20040705,150.0,,,,,,0.5,,,,,30.5,33.8,,,414.0,,11.832,361.4,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-68.584 -9.016)
16,"Alin and Richey, 2012",small river,-9.029,-68.593,20040705,150.0,,,,,,0.8,,,,,30.2,32.4,,,141.3,,-43.496,983.92,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-68.593 -9.029)
17,"Alin and Richey, 2012",small river,-9.029,-68.593,20040705,150.0,,,,,,0.8,,,,,30.2,32.4,,,141.3,,-15.104,431.41,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-68.593 -9.029)
18,"Alin and Richey, 2012",large river,-3.063,-60.272,20040714,70.0,,,,,,2.4,,,,,28.7,27.8,,,5665.0,,2.568,2342.49,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.272 -3.063)
19,"Alin and Richey, 2012",large river,-3.063,-60.272,20040714,70.0,,,,,,2.4,,,,,28.7,27.8,,,5665.0,,3.392,2966.91,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.272 -3.063)
20,"Alin and Richey, 2012",large river,-3.063,-60.272,20040714,70.0,,,,,,2.4,,,,,28.7,27.8,,,5665.0,,4.736,3708.63,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.272 -3.063)
21,"Alin and Richey, 2012",large river,-3.063,-60.272,20040714,70.0,,,,,,2.4,,,,,28.7,27.8,,,5665.0,,2.456,2777.69,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.272 -3.063)
22,"Alin and Richey, 2012",large river,-3.063,-60.272,20040714,70.0,,,,,,2.4,,,,,28.7,27.8,,,5665.0,,4.44,4314.12,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.272 -3.063)
23,"Alin and Richey, 2012",large lake/river,-2.289,-54.824,20040717,60.0,,,,,,,,,,,30.0,29.0,,,425.0,,264.024,2406.83,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.824 -2.289)
24,"Alin and Richey, 2012",large river,-2.454,-54.482,20040718,60.0,,,,,,,,,,,29.5,29.0,,,3958.0,,5.376,2921.5,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.482 -2.454)
25,"Alin and Richey, 2012",large river,-2.454,-54.482,20040718,60.0,,,,,,,,,,,29.5,29.0,,,3958.0,,3.208,2357.63,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.482 -2.454)
26,"Alin and Richey, 2012",large river,-3.058,-60.288,20040718,70.0,,,,,,2.3,,,,,29.6,27.3,,,5343.0,,3.768,3386.97,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.288 -3.058)
27,"Alin and Richey, 2012",large river,-3.058,-60.288,20040718,70.0,,,,,,2.3,,,,,29.6,27.3,,,5343.0,,5.8,6017.07,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.288 -3.058)
28,"Alin and Richey, 2012",large river,-3.058,-60.288,20040718,70.0,,,,,,1.3,,,,,29.6,27.6,,,4836.0,,3.168,2664.16,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.288 -3.058)
29,"Alin and Richey, 2012",large lake/river,-2.418,-54.875,20040719,60.0,,,,,,4.3,,,,,31.2,29.0,,,425.0,,28.248,684.96,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.875 -2.418)
30,"Alin and Richey, 2012",large lake/river,-2.418,-54.875,20040719,60.0,,,,,,3.4,,,,,31.2,30.0,,,425.0,,3.08,105.58,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.875 -2.418)
31,"Alin and Richey, 2012",large river,-2.462,-54.63,20040719,60.0,,,,,,1.3,,,,,29.2,28.6,,,6037.0,,3.032,3897.85,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.63 -2.462)
32,"Alin and Richey, 2012",small stream,-2.93,-59.974,20040720,150.0,,,,,,0.0,,,,,25.2,26.1,,,7548.3,,2.792,3617.81,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-59.974 -2.93)
33,"Alin and Richey, 2012",small stream,-2.93,-59.974,20040720,150.0,,,,,,0.0,,,,,25.2,26.1,,,7548.3,,2.584,3352.91,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-59.974 -2.93)
34,"Alin and Richey, 2012",large river,-3.253,-60.012,20040722,150.0,,,,,,0.9,,,,,27.6,28.0,,,4247.2,,1.104,783.35,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.012 -3.253)
35,"Alin and Richey, 2012",large river,-3.253,-60.012,20040722,150.0,,,,,,0.9,,,,,27.6,28.0,,,4247.2,,2.256,1298.02,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.012 -3.253)
36,"Alin and Richey, 2012",large river,-3.253,-60.012,20040722,150.0,,,,,,0.9,,,,,27.6,28.0,,,4247.2,,2.112,1347.22,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.012 -3.253)
37,"Alin and Richey, 2012",large river,-3.253,-60.012,20040722,150.0,,,,,,0.9,,,,,27.6,28.0,,,4247.2,,1.896,1313.16,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-60.012 -3.253)
38,"Alin and Richey, 2012",main river channel between santarem and alter do chao,-2.376,-54.849,20040810,150.0,,,,,,,,,,,30.0,30.0,,,,,9.136,-326.59,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.849 -2.376)
39,"Alin and Richey, 2012",main river channel between santarem and alter do chao,-2.376,-54.849,20040810,150.0,,,,,,,,,,,30.0,30.0,,,,,-3.056,124.88,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.849 -2.376)
40,"Alin and Richey, 2012",main river channel between santarem and alter do chao,-2.376,-54.849,20040810,150.0,,,,,,,,,,,30.0,30.0,,,936.1,,4.184,465.47,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.849 -2.376)
41,"Alin and Richey, 2012",lake,-2.506,-54.963,20040811,150.0,,,,,,0.0,,,,,30.1,28.1,,,,,-2.344,145.32,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.963 -2.506)
42,"Alin and Richey, 2012",mainstem amazonas,-2.454,-54.482,20040811,150.0,,,,,,0.8,,,,,28.6,28.1,,,3336.5,,2.96,1615.9,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.482 -2.454)
43,"Alin and Richey, 2012",lake,-2.506,-54.963,20040811,150.0,,,,,,,,,,,30.0,30.0,,,1515.2,,0.816,169.16,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.963 -2.506)
44,"Alin and Richey, 2012",lake,-2.506,-54.963,20040811,150.0,,,,,,,,,,,30.0,30.0,,,1515.2,,0.992,217.22,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.963 -2.506)
45,"Alin and Richey, 2012",main river channel between santarem and alter do chao,-2.376,-54.849,20040811,150.0,,,,,,,,,,,30.0,30.0,,,,,-3.896,165.75,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.849 -2.376)
46,"Alin and Richey, 2012",main river channel between santarem and alter do chao,-2.376,-54.849,20040811,150.0,,,,,,,,,,,30.0,30.0,,,503.0,,0.384,15.14,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.849 -2.376)
47,"Alin and Richey, 2012",main river channel between santarem and alter do chao,-2.376,-54.849,20040811,150.0,,,,,,,,,,,30.0,30.0,,,394.3,,-0.008,15.89,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.849 -2.376)
48,"Alin and Richey, 2012",mainstem river amazonas,-2.461,-54.57,20040812,150.0,,,,,,0.9,,,,,28.6,28.1,,,3922.5,,1.84,1165.57,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.57 -2.461)
49,"Alin and Richey, 2012",mainstem amazonas river,-2.461,-54.57,20040812,150.0,,,,,,0.9,,,,,28.6,28.1,,,3922.5,,1.832,1180.71,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.57 -2.461)
50,"Alin and Richey, 2012",minor river channel of mainstem,-2.314,-54.596,20040813,150.0,,,,,,3.2,,,,,28.1,30.7,,,3711.0,,4.232,2543.06,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.596 -2.314)
51,"Alin and Richey, 2012",minor river channel of mainstem,-2.314,-54.596,20040813,150.0,,,,,,3.2,,,,,28.1,30.7,,,3711.0,,3.84,2278.16,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.596 -2.314)
52,"Alin and Richey, 2012",huge lake w/o trees; very windy,-2.3,-54.664,20040813,150.0,,,,,,2.6,,,,,30.1,31.4,,,680.1,,1.632,226.3,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.664 -2.3)
53,"Alin and Richey, 2012",huge lake w/o trees; very windy,-2.3,-54.664,20040813,150.0,,,,,,2.6,,,,,30.1,31.4,,,680.1,,2.816,212.68,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.664 -2.3)
54,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040814,150.0,,,,,,1.2,,,,,29.5,31.6,,,565.1,,4.008,225.55,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
55,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040814,150.0,,,,,,1.2,,,,,29.5,31.6,,,565.1,,5.048,247.12,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
56,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040814,150.0,,,,,,1.7,,,,,29.5,28.3,,,682.5,,3.36,211.92,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
57,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040814,150.0,,,,,,1.7,,,,,29.5,28.3,,,682.5,,4.568,313.72,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
58,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040815,150.0,,,,,,1.0,,,,,29.6,27.0,,,767.2,,3.128,289.88,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
59,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040815,150.0,,,,,,1.0,,,,,29.6,27.0,,,767.2,,2.792,245.22,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
60,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040815,150.0,,,,,,1.4,,,,,29.4,29.0,,,813.0,,4.688,480.61,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
61,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040815,150.0,,,,,,1.4,,,,,29.4,29.0,,,813.0,,3.744,397.35,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
62,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040815,150.0,,,,,,1.6,,,,,29.9,29.7,,,619.2,,4.928,359.13,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
63,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040815,150.0,,,,,,1.6,,,,,29.9,29.7,,,619.2,,4.328,353.08,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
64,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040815,150.0,,,,,,1.6,,,,,29.9,29.7,,,619.2,,5.936,367.46,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
65,"Alin and Richey, 2012",main river channel between santarem and alter do chao,-2.376,-54.849,20040816,150.0,,,,,,2.8,,,,,29.8,29.0,,,506.9,,1.32,65.09,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.849 -2.376)
66,"Alin and Richey, 2012",main river channel between santarem and alter do chao,-2.376,-54.849,20040816,150.0,,,,,,2.8,,,,,29.8,29.0,,,506.9,,2.64,132.07,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.849 -2.376)
67,"Alin and Richey, 2012",mainstem amazonas river,-2.088,-55.343,20040817,150.0,,,,,,1.5,,,,,30.2,30.7,,,3393.9,,2.344,1347.22,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.343 -2.088)
68,"Alin and Richey, 2012",mainstem amazonas river,-2.088,-55.343,20040817,150.0,,,,,,1.5,,,,,30.2,30.7,,,3393.9,,2.88,1653.75,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.343 -2.088)
69,"Alin and Richey, 2012",mainstem amazonas river,-2.088,-55.343,20040817,150.0,,,,,,1.1,,,,,29.6,29.1,,,3168.9,,1.64,851.47,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.343 -2.088)
70,"Alin and Richey, 2012",mainstem amazonas river,-2.088,-55.343,20040817,150.0,,,,,,1.1,,,,,29.6,29.1,,,3168.9,,1.08,563.86,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.343 -2.088)
71,"Alin and Richey, 2012",mainstem amazonas river,-2.088,-55.343,20040818,150.0,,,,,,1.6,,,,,28.9,27.5,,,4175.1,,1.968,1411.55,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.343 -2.088)
72,"Alin and Richey, 2012",mainstem amazonas river,-2.088,-55.343,20040818,150.0,,,,,,1.6,,,,,28.9,27.5,,,4175.1,,2.12,1445.61,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.343 -2.088)
73,"Alin and Richey, 2012",mainstem amazonas river,-2.088,-55.343,20040818,150.0,,,,,,4.2,,,,,28.5,29.5,,,3928.9,,5.104,3337.77,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.343 -2.088)
74,"Alin and Richey, 2012",mainstem amazonas river,-2.088,-55.343,20040818,150.0,,,,,,4.2,,,,,28.5,29.5,,,3928.9,,7.392,4692.56,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.343 -2.088)
75,"Alin and Richey, 2012",mainstem amazonas river,-2.088,-55.343,20040818,150.0,,,,,,1.7,,,,,30.1,31.8,,,3698.1,,2.984,1748.36,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.343 -2.088)
76,"Alin and Richey, 2012",mainstem amazonas river,-2.088,-55.343,20040818,150.0,,,,,,1.7,,,,,30.1,31.8,,,3698.1,,6.032,3822.16,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.343 -2.088)
77,"Alin and Richey, 2012",huge lake w/o trees; very windy,-2.3,-54.664,20040819,150.0,,,,,,3.7,,,,,30.8,30.9,,,,,1.224,-57.9,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.664 -2.3)
78,"Alin and Richey, 2012",huge lake w/o trees; very windy,-2.3,-54.664,20040819,150.0,,,,,,3.7,,,,,30.8,30.9,,,,,2.728,-106.72,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.664 -2.3)
79,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040819,150.0,,,,,,2.6,,,,,29.9,29.6,,,,,-8.016,457.9,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
80,"Alin and Richey, 2012","river, approximately 600 m from alter do chao and water shallower (4-5 m); perhaps slower here",-2.489,-55.014,20040819,150.0,,,,,,2.6,,,,,29.9,29.6,,,,,-8.368,469.26,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-55.014 -2.489)
81,"Alin and Richey, 2012",lake,-2.506,-54.963,20040820,150.0,,,,,,1.8,,,,,30.5,31.0,,,,,-9.76,567.65,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.963 -2.506)
82,"Alin and Richey, 2012",lake,-2.506,-54.963,20040820,150.0,,,,,,1.8,,,,,30.5,31.0,,,,,-11.512,514.67,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.963 -2.506)
83,"Alin and Richey, 2012",lake,-2.506,-54.963,20040820,150.0,,,,,,1.8,,,,,30.5,31.0,,,,,-9.512,476.82,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-54.963 -2.506)
